,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By
3773,1693,Kamaljit Sandhu,Germany,Sports,V. V. Giri,,,,,,
3774,1700,Kanaka Raju,"Telangana, India",Arts,Ram Nath Kovind,,,,,,
3775,1713,Kantibhai Baldevbhai Patel,"Gujarat, India",Arts,A. P. J. Abdul Kalam,,,,,,
3776,1719,Kanwaljit Singh Bains,"Uttar Pradesh, India",Civil Service,Zail Singh,,,,,,
3777,1726,Kapil Tiwari,"Madhya Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,
3778,1728,Karachur Lingappa Nanjappa,Delhi/India,Civil Service,V. V. Giri,,,,,,
3779,1732,Kariamanickam Srinivasa Krishnan,,,,"Tamil Nadu, India",Science and Engineering,Rajendra Prasad,,,
3780,1742,Kartar Paras Ram Singh,"Himachal Pradesh, India",Arts,Ram Nath Kovind,,,,,,
3781,1743,Kartar Singh Dewana,"Punjab, India",Science and Engineering,Rajendra Prasad,,,,,,
3782,1747,Kashi Nath Pandita,Jammu & Kashmir/India,Literature and Education,Pranab Mukherjee,,,,,,
3783,1753,Kasturi Lal Vij,,,,Delhi/India,Civil Service,V. V. Giri,,,
3784,1754,Kasturi Srinivasan,,,,"Punjab, India",Literature and Education,Rajendra Prasad,,,
3785,1758,Katty Venkataswami Naidu,"Tamil Nadu, India",Social Work,V. V. Giri,,,,,,
3786,1763,Kaviraj Ashuthosh Majumdar,"Uttar Pradesh, India",Medicine,Zakir Husain (politician),,,,,,
3787,1764,Kavita Krishnamurthy,"Karnataka, India",Arts,A. P. J. Abdul Kalam,,,,,,
3788,1766,Kayalath Pothen Philip,,,,"Maharashtra, India",Literature and Education,V. V. Giri,,,
3789,1770,Kedar Ghosh,"West Bengal, India",Literature and Education,Zakir Husain (politician),,,,,,
3790,1772,Kedar Nath Mookerjee,,,,"West Bengal, India",Trade and Industry,V. V. Giri,,,
3791,1786,Keshav Rao Musalgaonkar,"Madhya Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,
3792,1798,Khalid Zaheer,"Uttarakhand, India",Social Work,A. P. J. Abdul Kalam,,,,,,
3793,1800,Kharag Singh Valdiya,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
3794,1801,Khawlkungi,"Mizoram, India",Literature and Education,Zail Singh,,,,,,
3795,1823,Kishandas Bhagwandas Kapadia,"Maharashtra, India",Social Work,Zakir Husain (politician),,,,,,
3796,1824,Kishorebhai Ratilal Zaveri,Delhi/India,Social Work,A. P. J. Abdul Kalam,,,,,,
3797,1828,Koka Simhadri Babu,Delhi/India,Civil Service,V. V. Giri,,,,,,
3798,1833,Kooram Chakravarthy Kannan,"Andhra Pradesh, India",Civil Service,V. V. Giri,,,,,,
3799,1836,Kotha Satchidananda Murthy,,,,"Andhra Pradesh, India",Literature and Education,Zail Singh,,,
3800,1837,Kotha Satchidanda Murthy,,,,,,,"Andhra Pradesh, India",Literature and Education,K. R. Narayanan
3801,1843,Krishan Dev Bali,Delhi/India,Civil Service,Zail Singh,,,,,,
3802,1845,Krishan Dutta Bharadwaj,Delhi/India,Literature and Education,Neelam Sanjiva Reddy,,,,,,
3803,1846,Krishan Swarup Pathak,"Punjab, India",Civil Service,V. V. Giri,,,,,,
3804,1849,Krishna Bihari Mishra,"West Bengal, India",Literature and Education,Ram Nath Kovind,,,,,,
3805,1851,Krishna Chandar,,,,"Maharashtra, India",Literature and Education,Zakir Husain (politician),,,
3806,1854,Krishna Chandra Shukla,"Rajasthan, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
3807,1856,Krishna Joshi,"Haryana, India",Science and Engineering,R. Venkataraman,,,,,,
3808,1860,Krishna Murari Tiwari,"Uttarakhand, India",Civil Service,Zail Singh,,,,,,
3809,1861,Krishna Pai Pai,"Kerala, India",Medicine,Fakhruddin Ali Ahmed,,,,,,
3810,1864,Krishna Prasad Singh Varma,Delhi/India,Medicine,K. R. Narayanan,,,,,,
3811,1865,Krishna Ram Chaudhary,"Uttar Pradesh, India",Arts,Pranab Mukherjee,,,,,,
3812,1869,Krishna Swaroop Mullick,Delhi/India,Civil Service,Zakir Husain (politician),,,,,,
3813,1872,Krishnan Raghavachari,"Maharashtra, India",Science and Engineering,V. V. Giri,,,,,,
3814,1875,Krishnarao Shripat Mhaskar,"Maharashtra, India",Medicine,Rajendra Prasad,,,,,,
3815,1876,Krishnaswami Balasubramania Iyer,,,,"Tamil Nadu, India",Public Affairs,Sarvepalli Radhakrishnan,,,
3816,1879,Krishnaswami Swaminathan,,,,Delhi/India,Literature and Education,V. V. Giri,,,
3817,1881,Kruthartha Acharya,"Odisha, India",Trade and Industry,Sarvepalli Radhakrishnan,,,,,,
3818,1883,Kshem Suman Chandra,Delhi/India,Literature and Education,Zail Singh,,,,,,
3819,1887,Kuldip Singh Virk,"Punjab, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,
3820,1888,Kum Subasini Jhunu Dasgupta,Delhi/India,Civil Service,V. V. Giri,,,,,,
3821,1889,Kum Uma Sharma,,,,Delhi/India,Arts,K. R. Narayanan,,,
3822,1892,Kumar Nandan Prasad,"Uttar Pradesh, India",Civil Service,Zakir Husain (politician),,,,,,
3823,1893,Kumar Padma Siva Shankara Menon,,,,"Kerala, India",Civil Service,Rajendra Prasad,,,
3824,1895,Kumari Codanda Rohini Poovaiah,"Karnataka, India",Social Work,V. V. Giri,,,,,,
3825,1901,Kundal Lal Bery,"Punjab, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,
3826,1923,L. Kijungluba AO,"Nagaland, India",Social Work,Fakhruddin Ali Ahmed,,,,,,
3827,1929,Laishram Birendrakumar Singh,"Manipur, India",Arts,Pranab Mukherjee,,,,,,
3828,1931,Lakha Khan,"Rajasthan, India",Arts,Ram Nath Kovind,,,,,,
3829,1934,Lakshman Dev,"Uttar Pradesh, India",Science and Engineering,Zakir Husain (politician),,,,,,
3830,1938,Lakshman Swarup Darbari,Delhi/India,Civil Service,V. V. Giri,,,,,,
3831,1946,Lakshminarayana Pulram Ananthakrishnan Ramdas,Delhi/India,Science and Engineering,Rajendra Prasad,,,,,,
3832,1947,Lal Bahadur Singh Chauhan,"Uttar Pradesh, India",Literature and Education,Pratibha Patil,,,,,,
3833,1948,Lal Singh,"Uttarakhand, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,
3834,1950,Lala Chand Verman,Delhi/India,Public Affairs,Sarvepalli Radhakrishnan,,,,,,
3835,1964,Lama Thup Phuntsok,Arunachal Pradesh,Social Work,A. P. J. Abdul Kalam,,,,,,
3836,1966,Langpoklakpam Subadani Devi,"Manipur, India",Arts,Ram Nath Kovind,,,,,,
3837,1974,Laxmanshastri Balaji Joshi,,,,"Maharashtra, India",Literature and Education,Fakhruddin Ali Ahmed,,,
3838,1977,Laxmi Narayan Dubey,"Madhya Pradesh, India",Literature and Education,R. Venkataraman,,,,,,
3839,1986,Leelavati Vinayak Pathak,Delhi/India,Civil Service,V. V. Giri,,,,,,
3840,1987,Lentina Ao Thakkar,"Nagaland, India",Social Work,Ram Nath Kovind,,,,,,
3841,1991,Lhingioneng Gangte,"Manipur, India",Social Work,Fakhruddin Ali Ahmed,,,,,,
3842,1993,Liarenmayum Damu Singh,"Manipur, India",Sports,Zail Singh,,,,,,
3843,1995,Lila Indrasen,Puducherry/India,Social Work,Zakir Husain (politician),,,,,,
3844,2006,Lovelin Kumar Gandhi,Delhi/India,Medicine,R. Venkataraman,,,,,,
3845,2010,M. A. Yousuf Ali,Philippines,Social Work,Pratibha Patil,,,,,,
3846,2026,M. K. Kunjol,"Kerala, India",Social Work,Ram Nath Kovind,,,,,,
3847,2027,M. K. Malik Mohammad,"Kerala, India",Literature and Education,V. V. Giri,,,,,,
3848,2031,M. Kirti Singh,"Manipur, India",Literature and Education,R. Venkataraman,,,,,,
3849,2033,M. L. Soni,,,,Delhi/India,Medicine,Sarvepalli Radhakrishnan,,,
3850,2042,M. N. Venkatachaliah,,,,,,,"Karnataka, India",Public Affairs,A. P. J. Abdul Kalam
3851,2048,M. R. Brahmam,,,,"Andhra Pradesh, India",Civil Service,V. V. Giri,,,
3852,2058,M. S. Raghunathan,Maharashtra,Science and Engineering,K. R. Narayanan,Maharashtra,Science and Engineering,Pratibha Patil,,,
3853,2074,MS Dhoni,Jharkhand,Sports,Pratibha Patil,Jharkhand,Sports,Ram Nath Kovind,,,
3854,2075,Maadari Bhagya Gautam,"Karnataka, India",Public Affairs,R. Venkataraman,,,,,,
3855,2078,Madan Madhav Godbole,"Uttar Pradesh, India",Medicine,Pranab Mukherjee,,,,,,
3856,2079,Madan Mohan,Delhi/India,Medicine,Zail Singh,,,,,,
3857,2081,Madan Mohan Singh,,,,Delhi/India,Medicine,V. V. Giri,,,
3858,2087,Maddali Gopala Krishna,"Uttarakhand, India",Civil Service,V. V. Giri,,,,,,
3859,2090,Madhav Kashinath Dalvi,"Tamil Nadu, India",Social Work,Neelam Sanjiva Reddy,,,,,,
3860,2097,Madhavan Nambiar,"Kerala, India",Sports,Ram Nath Kovind,,,,,,
3861,2114,Madurai Ponnusamy Sethuraman Natesan,"Tamil Nadu, India",Arts,R. Venkataraman,,,,,,
3862,2116,Magan Lal Tribhuvandas Vyas,"Gujarat, India",Literature and Education,Rajendra Prasad,,,,,,
3863,2120,Mahadev Lalji Shahare,Delhi/India,Literature and Education,Fakhruddin Ali Ahmed,,,,,,
3864,2121,Mahadev Prasad Pandey,"Chhattisgarh, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
3865,2124,Mahamaya Prasad Dubey,Delhi/India,Medicine,R. Venkataraman,,,,,,
3866,2127,Maharaj Kr. Palden T Namgyal,,,,"Punjab, India",Public Affairs,Rajendra Prasad,,,
3867,2128,Maharaj Krishan Kumar,Delhi/India,Arts,R. Venkataraman,,,,,,
3868,2132,Mahashay Dharampal Gulati,,,,Delhi/India,Trade and Industry,Ram Nath Kovind,,,
3869,2138,Mahendra Kumar Goel,"Uttar Pradesh, India",Medicine,R. Venkataraman,,,,,,
3870,2139,Mahendra Nath Kapur,"Punjab, India",Literature and Education,Zakir Husain (politician),,,,,,
3871,2143,Mahesh Haribhai Mehta,"Gujarat, India",Science and Engineering,Pratibha Patil,,,,,,
3872,2149,Maheshwar Dayal,,,,Delhi/India,Social Work,V. V. Giri,,,
3873,2153,Mahipatrai Jadavji Shah,"Maharashtra, India",Social Work,R. Venkataraman,,,,,,
3874,2159,Makhala Jha,,,,"Bihar, India",Social Work,Neelam Sanjiva Reddy,,,
3875,2161,Malai Haji Abdullah Bin Malai Haji Othman,,Social work,Ram Nath Kovind,,,,,,
3876,2163,Malati Barua,"Assam, India",Social Work,Fakhruddin Ali Ahmed,,,,,,
3877,2166,Mali,Jammu & Kashmir/India,Social Work,V. V. Giri,,,,,,
3878,2167,Maligali Ram Krishna Girinath,,,,"Tamil Nadu, India",Medicine,K. R. Narayanan,,,
3879,2169,Mallappa Krishna Bhargava,"Karnataka, India",Medicine,R. Venkataraman,,,,,,
3880,2174,Malur Srinivasa Thirumale Iyengar,,,,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,
3881,2186,Man Singh M. Rana,Delhi/India,Science and Engineering,Zakir Husain (politician),,,,,,
3882,2187,Manak Jehangir Bhickaji Maneckji,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,
3883,2190,Manchar Balvant Diwan,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,
3884,2193,Mangal Singh Hazowary,"Assam, India",Literature and Education,Ram Nath Kovind,,,,,,
3885,2194,Mangala Prasad Mohanty,"Jharkhand, India",Arts,Pratibha Patil,,,,,,
3886,2201,Mani Narayan,"Maharashtra, India",Arts,R. Venkataraman,,,,,,
3887,2206,Manickam Narayanan,"Tamil Nadu, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
3888,2221,Manohar Devadoss,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,
3889,2234,Manthiram Natarajan,Delhi/India,Science and Engineering,A. P. J. Abdul Kalam,,,,,,
3890,2235,Mantosh Sondhi,"Haryana, India",Civil Service,Zakir Husain (politician),,,,,,
3891,2237,Manu Sharma,"Uttar Pradesh, India",Literature and Education,Pranab Mukherjee,,,,,,
3892,2251,Marthhand Ramchandra Jamdar,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,
3893,2255,Mary Ratnamma Issac,"Karnataka, India",Social Work,Rajendra Prasad,,,,,,
3894,2256,Mary Theodosia,"Karnataka, India",Literature and Education,V. V. Giri,,,,,,
3895,2258,Maryam Begum,Jammu & Kashmir/India,Civil Service,V. V. Giri,,,,,,
3896,2260,Masuma Begum,"Andhra Pradesh, India",Social Work,V. V. Giri,,,,,,
3897,2262,Matha B. Manjamma Jogati,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,
3898,2264,Mathew Kandathil Mathulla,"Karnataka, India",Civil Service,Rajendra Prasad,,,,,,
3899,2267,Mathura Das,"Assam, India",Medicine,Rajendra Prasad,,,,,,
3900,2268,Mathura Nath Bhattacharyya,"Assam, India",Medicine,R. Venkataraman,,,,,,
3901,2276,Meena Shah,"Uttar Pradesh, India",Sports,Fakhruddin Ali Ahmed,,,,,,
3902,2287,Meher Jehangir Banaji,"Maharashtra, India",Social Work,A. P. J. Abdul Kalam,,,,,,
3903,2289,Mehmood-ur Rehman,Jammu & Kashmir/India,Civil Service,R. Venkataraman,,,,,,
3904,2293,Melinda Gates,,,,"Texas, United States",Social Work,Pranab Mukherjee,,,
3905,2310,Mira Salganik,Spain,Literature and Education,A. P. J. Abdul Kalam,,,,,,
3906,2311,Mirnamayee Ray,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,,,,
3907,2317,Mitrabhanu Gountia,"Odisha, India",Arts,Ram Nath Kovind,,,,,,
3908,2327,Mohammad Khalilullah,,,,Delhi/India,Medicine,R. Venkataraman,,,
3909,2329,Mohammad Shafi,"Uttar Pradesh, India",Science and Engineering,K. R. Narayanan,,,,,,
3910,2332,Mohammad Swaleh Ansari,"Uttar Pradesh, India",Trade and Industry,R. Venkataraman,,,,,,
3911,2335,Mohammed Abdul Waheed,"Telangana, India",Medicine,Pranab Mukherjee,,,,,,
3912,2336,Mohammed Din Jagir,Jammu & Kashmir/India,Social Work,Sarvepalli Radhakrishnan,,,,,,
3913,2339,Mohammed Sharif,"Uttar Pradesh, India",Social Work,Ram Nath Kovind,,,,,,
3914,2346,Mohan Lal,"Uttar Pradesh, India",Medicine,Rajendra Prasad,,,,,,
3915,2348,Mohan Naik,"Odisha, India",Social Work,V. V. Giri,,,,,,
3916,2350,Mohan Reddy Venkatrama Bodanapu,"Telangana, India",Trade and Industry,Pranab Mukherjee,,,,,,
3917,2351,Mohan Singh,Delhi/India,Public Affairs,V. V. Giri,,,,,,
3918,2356,Mohan Swaroop Bhatia,"Uttar Pradesh, India",Arts,Ram Nath Kovind,,,,,,
3919,2361,Mohd. Abdul Hai,,,,"Bihar, India",Medicine,Sarvepalli Radhakrishnan,,,
3920,2362,Mohd. Fayazuddin Nizami,"Andhra Pradesh, India",Science and Engineering,Fakhruddin Ali Ahmed,,,,,,
3921,2363,Mohd. Hayath,,,,"Karnataka, India",Civil Service,V. V. Giri,,,
3922,2366,Mohmmed Khalilullah,Delhi/India,Medicine,Zail Singh,,,,,,
3923,2370,Monindra Nath Chakravarti,,,,"West Bengal, India",Civil Service,V. V. Giri,,,
3924,2372,Mool Chand Maheshwari,Delhi/India,Medicine,K. R. Narayanan,,,,,,
3925,2376,Moreshwar Mangesh Wagle,"Maharashtra, India",Civil Service,V. V. Giri,,,,,,
3926,2379,Moti Chandra,,,,"Maharashtra, India",Science and Engineering,V. V. Giri,,,
3927,2382,Moti Lal Saqi,Jammu & Kashmir/India,Literature and Education,R. Venkataraman,,,,,,
3928,2390,Mritanjaya Vaidyanathan,"Tamil Nadu, India",Science and Engineering,Sarvepalli Radhakrishnan,,,,,,
3929,2392,Ms. Bijoya Chakravarty,"Assam, India",Public Affairs,Ram Nath Kovind,,,,,,
3930,2393,Ms. Birubala Rabha,"Assam, India",Social Work,Ram Nath Kovind,,,,,,
3931,2394,Ms. Chutni Devi,"Jharkhand, India",Social Work,Ram Nath Kovind,,,,,,
3932,2397,Ms. Lajwanti,"Punjab, India",Arts,Ram Nath Kovind,,,,,,
3933,2399,Ms. Mridula Sinha,"Bihar, India",Literature and Education,Ram Nath Kovind,,,,,,
3934,2400,Ms. Niru Kumar,Delhi/India,Social Work,Ram Nath Kovind,,,,,,
3935,2402,Ms. Prakash Kaur,"Punjab, India",Social Work,Ram Nath Kovind,,,,,,
3936,2403,Ms. Purnamasi Jani,"Odisha, India",Arts,Ram Nath Kovind,,,,,,
3937,2404,Ms. Radhe Devi,"Manipur, India",Arts,Ram Nath Kovind,,,,,,
3938,2405,Ms. Sangkhumi Bualchhuak,"Mizoram, India",Social Work,Ram Nath Kovind,,,,,,
3939,2406,Ms. Shanti Devi,"Odisha, India",Social Work,Ram Nath Kovind,,,,,,
3940,2407,Ms. Sindhutai Sapkal,"Maharashtra, India",Social Work,Ram Nath Kovind,,,,,,
3941,2408,Ms. Sudha Hari Narayan Singh,"Uttar Pradesh, India",Sports,Ram Nath Kovind,,,,,,
3942,2409,Ms. Usha Yadav,"Uttar Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,
3943,2415,Mukti Prasad Gogoi,"Assam, India",Medicine,Zail Singh,,,,,,
3944,2419,Mukut Dhar Pandeya,"Chhattisgarh, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
3945,2420,Mukut Minz,Chandigarh/India,Medicine,Pranab Mukherjee,,,,,,
3946,2422,Mulk Raj Chopra,,,,"Uttarakhand, India",Civil Service,Sarvepalli Radhakrishnan,,,
3947,2425,Muni Inder Dev Sharma,Delhi/India,Medicine,Fakhruddin Ali Ahmed,,,,,,
3948,2427,Munna Master,"Rajasthan, India",Arts,Ram Nath Kovind,,,,,,
3949,2433,Mushtaq Ahmed,Delhi/India,Literature and Education,R. Venkataraman,,,,,,
3950,2434,Mushtaq Ali,"Madhya Pradesh, India",Sports,Sarvepalli Radhakrishnan,,,,,,
3951,2440,Muthulakshmi Reddi,,,,"Tamil Nadu, India",Medicine,Rajendra Prasad,,,
3952,2444,Mylai Ponnuswamy Sivagnanam,"Tamil Nadu, India",Literature and Education,V. V. Giri,,,,,,
3953,2448,Mysore Shrikanta Pandit Nilkanta Rao,"Maharashtra, India",Medicine,V. V. Giri,,,,,,
3954,2449,N. Balakrishna Reddy,"Andhra Pradesh, India",Social Work,Zakir Husain (politician),,,,,,
3955,2456,N. H. Antia,"Maharashtra, India",Medicine,R. Venkataraman,,,,,,
3956,2469,N. S. Bendre,Maharashtra,Arts,Zakir Husain (politician),Maharashtra,Arts,R. Venkataraman,,,
3957,2473,N. S. Venkatesan,Chandigarh/India,Civil Service,Fakhruddin Ali Ahmed,,,,,,
3958,2476,Na. Muthuswamy,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,
3959,2482,Nagendra,,,,Delhi/India,Literature and Education,Zail Singh,,,
3960,2494,Namagundlu Venkata Krishnamurthy,"Maharashtra, India",Civil Service,Zail Singh,,,,,,
3961,2496,Namdeo C Kamble,"Maharashtra, India",Literature and Education,Ram Nath Kovind,,,,,,
3962,2500,Nampally Divakar,"Andhra Pradesh, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
3963,2503,Nanabhai Bhatt,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,
3964,2505,Nanadro B Marak,"Meghalaya, India",Agriculture,Ram Nath Kovind,,,,,,
3965,2508,Nand Kishore Verma,"Haryana, India",Medicine,Zakir Husain (politician),,,,,,
3966,2509,Nand Kumar Avasthi,"Uttar Pradesh, India",Social Work,Fakhruddin Ali Ahmed,,,,,,
3967,2510,Nanda Prusty,"Odisha, India",Literature and Education,Ram Nath Kovind,,,,,,
3968,2514,Nandlal Lachmilal Bordia,"Madhya Pradesh, India",Medicine,V. V. Giri,,,,,,
3969,2515,Nani Chandra Bordoloi,"Assam, India",Medicine,Sarvepalli Radhakrishnan,,,,,,
3970,2518,Narain Singh Thapa,"Maharashtra, India",Arts,Zail Singh,,,,,,
3971,2521,Narayan Chaturvedi,,,,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,
3972,2522,Narayan Das Maharaj,"Rajasthan, India",Others,Ram Nath Kovind,,,,,,
3973,2527,Narayan Singh,"Rajasthan, India",Civil Service,V. V. Giri,,,,,,
3974,2528,Narayan Singh Bhati Zipashni,"Andhra Pradesh, India",Civil Service,Pratibha Patil,,,,,,
3975,2532,Narayan Swami Dharmarajan,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,
3976,2544,Narendra Nath Bery,,,,"Punjab, India",Medicine,Sarvepalli Radhakrishnan,,,
3977,2546,Narendra Singh,"Haryana, India",Others,Ram Nath Kovind,,,,,,
3978,2547,Narendra Singh Dev,"Madhya Pradesh, India",Social Work,Zakir Husain (politician),,,,,,
3979,2548,Narendra Singh Jain,Delhi/India,Medicine,V. V. Giri,,,,,,
3980,2557,Narindar Nath Khanna,"Uttar Pradesh, India",Medicine,Ram Nath Kovind,,,,,,
3981,2559,Narinder Nath Mohan,"Haryana, India",Social Work,Zakir Husain (politician),,,,,,
3982,2565,Narpati Datta,"Maharashtra, India",Civil Service,Neelam Sanjiva Reddy,,,,,,
3983,2567,Nartaki Natraj,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,
3984,2569,Nashir Framroz Suntook,"Maharashtra, India",Civil Service,Sarvepalli Radhakrishnan,,,,,,
3985,2570,Nasir Aminuddin Daggar,,,,"West Bengal, India",Arts,Zail Singh,,,
3986,2575,Natthi Singh,"Uttar Pradesh, India",Science and Engineering,Rajendra Prasad,,,,,,
3987,2578,Naushad Ismail Padamsee,"Maharashtra, India",Trade and Industry,K. R. Narayanan,,,,,,
3988,2583,Naveen Khanna,Delhi/India,Science and Engineering,Ram Nath Kovind,,,,,,
3989,2585,Nawang Gombu Sherpa,West Bengal,Sports,Sarvepalli Radhakrishnan,West Bengal,Sports,Sarvepalli Radhakrishnan,,,
3990,2591,Neelkantha Anneppa Kalyani,"Maharashtra, India",Trade and Industry,R. Venkataraman,,,,,,
3991,2595,Nekibuz Zaman,"Assam, India",Medicine,Zail Singh,,,,,,
3992,2597,Nelly Homi Sethna,"Maharashtra, India",Trade and Industry,Zail Singh,,,,,,
3993,2600,Nemnath Jain,"Madhya Pradesh, India",Trade and Industry,Ram Nath Kovind,,,,,,
3994,2601,Nepal Mahato,"West Bengal, India",Arts,Zail Singh,,,,,,
3995,2605,Nguyen Tien Thien,,Others,Ram Nath Kovind,,,,,,
3996,2607,Nicholas Kazanas,Greece,Literature and Education,Ram Nath Kovind,,,,,,
3997,2620,Nilkanth Yeshwant Khadilkar,"Maharashtra, India",Literature and Education,R. Venkataraman,,,,,,
3998,2621,Nilmani Phookan,"Assam, India",Literature and Education,R. Venkataraman,,,,,,
3999,2622,Nima Namgyal Lama,"West Bengal, India",Civil Service,R. Venkataraman,,,,,,
4000,2623,Nimai Charan Harichandan,"Odisha, India",Arts,Fakhruddin Ali Ahmed,,,,,,
4001,2624,Niranjan Das Aggarwal,"Punjab, India",Medicine,Neelam Sanjiva Reddy,,,,,,
4002,2644,Nivedita Raghunath Bhide,"Tamil Nadu, India",Social Work,Pranab Mukherjee,,,,,,
4003,2646,Nokdenlemba,"Nagaland, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
4004,2649,Norden Tshering,"Sikkim, India",Literature and Education,Pratibha Patil,,,,,,
4005,2665,Om Agarwal,"West Bengal, India",Sports,Zail Singh,,,,,,
4006,2670,Om Prakash Mittal,Delhi/India,Civil Service,Fakhruddin Ali Ahmed,,,,,,
4007,2677,Onkar Srinivasa Murthy,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,
4008,2680,P Subramanian,"Tamil Nadu, India",Trade and Industry,Ram Nath Kovind,,,,,,
4009,2684,P. Ardeshir Narielwala,,,,"Maharashtra, India",Trade and Industry,Fakhruddin Ali Ahmed,,,
4010,2685,P. B. Buckshey,Delhi/India,Medicine,R. Venkataraman,,,,,,
4011,2687,P. Bhanumathi,Tamil Nadu,Arts,Sarvepalli Radhakrishnan,Tamil Nadu,Arts,K. R. Narayanan,,,
4012,2702,P. N. Bhaskaran Nair,Delhi/India,Civil Service,V. V. Giri,,,,,,
4013,2707,P. Narasimhayya,"Karnataka, India",Literature and Education,V. V. Giri,,,,,,
4014,2708,P. O. Dunn,,,,"Maharashtra, India",Civil Service,Sarvepalli Radhakrishnan,,,
4015,2713,P. R. Shreejesh,"Kerala, India",Sports,Pranab Mukherjee,,,,,,
4016,2715,P. Ramanathan Rajgopal,"Tamil Nadu, India",Civil Service,V. V. Giri,,,,,,
4017,2717,P. S. Bedi,Delhi/India,Social Work,A. P. J. Abdul Kalam,,,,,,
4018,2729,Padamanur Ananda Rau,"Tamil Nadu, India",Trade and Industry,R. Venkataraman,,,,,,
4019,2736,Padmavathy Bandopadhyay,"Uttar Pradesh, India",Medicine,Ram Nath Kovind,,,,,,
4020,2738,Palahalli Sitaramiah,"Karnataka, India",Social Work,V. V. Giri,,,,,,
4021,2739,Palaniandi Kandaswamy,"Tamil Nadu, India",Civil Service,V. V. Giri,,,,,,
4022,2742,Palligarnai Thirumalai Venugopal,United States,Civil Service,Neelam Sanjiva Reddy,,,,,,
4023,2745,Pamela Cullen,United Kingdom,Arts,Zail Singh,,,,,,
4024,2748,Panavelil Thomas Chandi,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
4025,2754,Pandurang Rajaram Ghogrey,"Maharashtra, India",Social Work,Zakir Husain (politician),,,,,,
4026,2756,Pandurang Vasudeo Gadgil,"Maharashtra, India",Literature and Education,Zakir Husain (politician),,,,,,
4027,2758,Pandyala Satyanarayana Rau,,,,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,
4028,2760,Pankaj Arjan Advani,"Karnataka, India",Sports,Pratibha Patil,,,,,,
4029,2762,Pankaj M Shah,"Gujarat, India",Medicine,Ram Nath Kovind,,,,,,
4030,2769,Parameswaran Kuttapp Panikkar,"Kerala, India",Civil Service,Rajendra Prasad,,,,,,
4031,2770,Paramsukh J. Pandya,,,,"Maharashtra, India",Arts,Fakhruddin Ali Ahmed,,,
4032,2777,Parixitalal Lallu Bhai Majumdar,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,
4033,2780,Parshuram Atmaram Gangavane,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,
4034,2790,Penimangalore Appraya Bhatt,"Maharashtra, India",Civil Service,V. V. Giri,,,,,,
4035,2798,Peter Brook,,Arts,Ram Nath Kovind,,,,,,
4036,2799,Phanishwar Nath Renu,"Bihar, India",Literature and Education,V. V. Giri,,,,,,
4037,2801,Philipose Mar Chrysostom,,,,"Kerala, India",Others,Ram Nath Kovind,,,
4038,2803,Phool Chand Chowdhary,Delhi/India,Literature and Education,V. V. Giri,,,,,,
4039,2807,Phul Chand,"West Bengal, India",Trade and Industry,V. V. Giri,,,,,,
4040,2810,Pilloo Maneck Maneckiji,"Maharashtra, India",Social Work,Sarvepalli Radhakrishnan,,,,,,
4041,2812,Pisharoth Rama Pisharoty,"Gujarat, India",Science and Engineering,V. V. Giri,,,,,,
4042,2823,Prabhakar Bhikaji Chitnis,"Maharashtra, India",Civil Service,V. V. Giri,,,,,,
4043,2825,Prabhashankar Oghadbhai Sompura,"Gujarat, India",Science and Engineering,V. V. Giri,,,,,,
